dates,inf_yoy,inf_mva,inf_food_yoy,inf_food_mva,inf_core_yoy,inf_core_mva,inf_core_eng_yoy,inf_core_eng_mva,Credit to Government,Credit to Private Sector,Currency in Circulation,Demand Deposits,Money Supply M2, BDC ,nber,elect
2000/01/01,-2.49,5.23,-17.5,3.41,-2.54,12.93,4.95,-55.63,32456.58,440872.28,199339.8,227245.38,648506.59,104.31,0,0
2000/02/01,-1.73,3.92,-15.83,1.74,-2.07,10.37,5.94,-53.3,-34080.22,464643.2,193939.35,246344.52,722772.36,105.91,0,0
2000/03/01,-1.43,2.72,-15.7,0.01,0.18,8.26,6.73,-50.7,20342.75,478189.64,197821.04,298551.18,795529.02,106.4,0,0
2000/04/01,-0.05,1.79,-14.15,-1.57,2.01,6.44,7.22,-47.71,-31939.64,499596.63,201024.54,290609.48,801187.83,106.14,0,0
2000/05/01,2.17,1.08,-13.65,-3.2,5.85,5.13,6.59,-44.35,-24237.56,504163.25,200854.16,292430.82,808090.48,105.85,0,0
2000/06/01,5.87,0.92,-13.01,-4.79,13.88,4.95,6.59,-40.35,-26413.88,522327.8,203993.26,325380.3,904153.97,106.53,0,0
2000/07/01,6.67,1.16,-13.01,-6.48,14.1,4.9,7.23,-35.57,1515.66,546256.13,213697.55,348718.18,942642.43,111.78,0,0
2000/08/01,13.1,2.17,-12.14,-7.92,20.5,5.6,8.88,-29.82,49480.21,566741.12,227885.56,324820.89,948756.84,114.05,0,0
2000/09/01,15.51,3.26,-13.17,-9.43,29.21,7.29,9.38,-22.89,48184.37,564206.19,234241.28,337452.39,962743.77,119,0,0
2000/10/01,17.08,4.52,-13.52,-10.96,31.05,9.25,9.71,-14.67,28458.94,588250.55,244832.75,350056.5,984274.45,119.74,0,0
2000/11/01,15.38,5.77,-14.2,-12.59,26.56,11.49,9.17,-4.75,-45475.44,593231.36,268310.75,342595.61,986750.06,120.28,0,0
2000/12/01,14.53,6.94,-14.07,-14.15,22.73,13.25,10.17,7.73,-123989.8,596001.5,310496.3,363720.6,1036079.5,122,0,0
2001/01/01,17.64,8.59,12.2,-12.07,23.84,15.47,11.11,8.25,-44457.7,645124,305922.4,380947.6,1092754.3,123.43,0,0
2001/02/01,18.59,10.29,13.83,-9.93,24.28,17.7,10.65,8.64,13861.3,688992.7,305285.1,478818.1,1204777.7,125.21,0,0
2001/03/01,18.2,11.94,16.27,-7.56,19.38,19.33,11.04,9,25849.2,713552.1,320273.8,477227.2,1274030.4,127.55,0,0
2001/04/01,23.23,13.92,26.7,-4.45,16.21,20.52,11.77,9.38,1338.84,710510.6,333567.4,500693.7,1289159.1,135.52,1,0
2001/05/01,22.96,15.72,30.21,-0.98,11.32,20.94,12.24,9.85,-10989.5,741201,336287.7,505628.6,1303536.4,138,1,0
2001/06/01,16.06,16.6,30.45,2.6,-3.75,19.19,10.44,10.17,-69914.3,758574.6,340914.6,461370.3,1263161.2,136.19,1,0
2001/07/01,19,17.65,32.95,6.45,1.18,17.93,12.14,10.58,-63854.1,777313.9,343924.7,471196.8,1271785,135.89,1,0
2001/08/01,18.71,18.12,33.89,10.41,0.11,16.02,11.32,10.78,-99606.5,788912.2,342070.6,438021.8,1254749.7,134.54,1,0
2001/09/01,19.12,18.41,39.53,14.98,-5.45,12.92,8.8,10.72,-27426.2,832559.7,344165.6,488482.2,1327624.7,134.54,1,0
2001/10/01,19.33,18.6,37.07,19.52,-2.82,10.05,9.05,10.66,-9852.3,824037.8,348057.4,477868.4,1309696.6,134.45,1,0
2001/11/01,17.43,18.74,31.49,23.81,-1.03,7.82,10.94,10.8,45327.9,843760.3,361941.5,492999.2,1324715.1,134.05,1,0
2001/12/01,16.49,18.87,28.89,28.02,0.15,6.04,10.52,10.82,-6006.53,854999.33,403505.98,478036.47,1315869.15,134.59,0,0
2002/01/01,18.55,18.93,29.28,29.36,4.9,4.66,7.25,10.49,23143.1,854130.6,382148.2,481346.6,1347265.6,135.87,0,0
2002/02/01,17.99,18.88,27.79,30.43,4.46,3.25,8.69,10.32,71116.9,875789.9,377453.1,498018,1381821.4,139.18,0,0
2002/03/01,17.38,18.79,25.04,31.05,7.06,2.43,8.52,10.11,111973.2,892872.4,371129.6,519753.5,1423345.5,138.99,0,0
